Ajmer	24	26.4521	74.6387
Ajanur	13	12.3361	75.0930
Ajnala	23	31.8447	74.7630
Ajara	16	16.1160	74.2110
Ajaigarh	35	24.8988	80.2592
Ajeetgarh	24	27.4193	75.8214
Ajjampur	19	13.7279	76.0068
Ajani Khurd	16	18.6199	76.9412
Ajani Budruk	16	20.5861	77.1519
Ajani	16	18.2563	77.1371
Ajani Khurd	16	20.5730	77.1386
Ajram	23	31.4480	75.8176
Ajnas	35	22.5573	76.8411
Ajitwal	23	30.8157	75.3383
Ajitpura	24	29.0106	75.3119
Ajita	24	25.4805	75.8518
Ajgarhbura	35	23.9667	82.3167
Ajgaon	33	15.7749	73.7013
Ajgain	36	26.6193	80.6287
Ajayagad	21	18.9244	84.0820
Ajasar	24	27.2647	71.7057
Ajas	12	34.3316	74.6801
Ajapura	35	25.6179	76.6735
Ajanta	16	20.5319	75.7494
Ajabgarh	24	27.1869	76.2909
Ajab	09	21.2644	70.3551
Ajitsar	24	28.2689	74.6465
Ajot	12	33.7724	74.0639
Ajaipal ka Dungri	24	25.7265	75.6436
Ajari	24	28.0608	75.4532
Ajitpura	24	28.2259	75.5670
Ajrawar	10	30.1464	76.6908
Ajrana Khurd	10	30.1053	76.7712
Ajrana Kalan	10	30.0972	76.7870
Ajrani	10	30.0720	76.8036
Ajnara ka Khirk	35	25.1587	78.9496
Ajnora	36	24.7099	78.6895
Ajan	36	24.5272	78.7186
Ajnor	35	24.6178	78.9424
Ajrao	36	27.8411	79.1753
Ajit Nagla	36	27.7675	79.4265
Ajabpur	36	27.1652	79.3773
Ajudhipur	36	27.0082	79.8363
Ajit ka Adda	36	26.7906	79.0282
Ajab ka Nagla	36	26.8481	79.2079
Ajrajpura ki Dhani	24	26.7583	75.6101
Ajrajpura	24	26.7629	75.6012
Ajanpur	36	26.4937	79.4609
Ajitapur	36	26.3112	79.3318
Ajneri	36	25.6534	79.1732
Ajit Purwa	36	26.8565	79.5748
Ajpur	12	32.4905	74.7572
Ajekar	19	13.3216	75.0001
Ajit	24	25.8613	72.6765
Ajwain	35	24.0922	80.7490
Ajegaon	16	19.8737	76.9252
Ajandi	35	22.1490	74.9864
Ajgarbahar	37	22.5219	82.7091
Ajnoti	35	22.8662	75.6964
Ajnod	35	22.9398	75.7531
Ajmatnagar	35	23.5024	77.2391
Ajurya	28	22.5286	87.7776
Ajar	12	34.4292	74.6430
Ajitpur	10	28.7174	76.1780
Ajag	11	30.7001	77.3013
Ajitpura	24	27.6669	76.1051
Ajeraka	24	27.9577	76.5636
Ajawali	11	30.4889	77.6517
Ajaiwala	11	30.4709	77.5876
Ajitpur	39	29.8812	78.1330
Ajmeripura	24	26.5448	76.0756
Ajabpura	24	26.5328	76.2456
Ajabgaon	35	22.7567	78.1428
Ajanda	35	22.9121	78.5914
Ajansara	35	22.9397	78.9254
Ajora	16	21.3687	78.2180
Ajitpur	16	21.1214	78.1684
Ajangaon	35	21.6078	78.4743
Ajanadevi	16	21.1949	78.3638
Ajandoh	16	21.0937	78.4912
Ajamgaon Buzurg	16	21.2697	78.6869
Ajangaon Khurd	16	21.2641	78.6866
Ajpura	24	24.5888	72.8462
Ajrora	24	25.1825	76.9675
Ajbara	24	24.3331	73.8599
Ajitwala	23	30.9653	75.3021
Ajitpura	24	25.5446	74.2468
Ajmeripur	39	29.9638	77.9808
Ajnaud	23	30.7989	75.9759
Ajraunda	10	28.3954	77.3173
Ajaibpur	36	28.4721	77.5916
Ajaynagar	36	28.3000	77.6727
Ajitgil	23	30.4814	74.8576
Ajowal	23	31.5637	75.9212
Ajitgarh	24	25.7795	74.1505
Ajai	24	27.0634	75.6593
Ajabpur Kalan	39	30.2962	78.0479
Ajabpur Khurd	39	30.2895	78.0329
Ajaipur	36	28.8377	79.0502
Ajitpur	36	28.7686	79.0158
Ajodhiapur	36	28.3249	79.1433
Ajodhiapur	36	28.3260	79.1008
Ajmir	36	28.4324	79.1059
Ajronra	35	24.7688	76.9765
Ajgari	24	26.0036	75.0961
Ajgara	24	26.0143	75.0998
Ajrara	36	28.8382	77.8191
Ajitpur	36	28.5502	77.8519
Ajit ka Pura	35	26.3769	77.9552
Ajitpura	35	25.7968	78.3196
Ajaigarh	35	25.9182	78.4288
Ajlaud	23	30.7850	76.1590
Ajnauda Kalan	23	30.4220	76.2569
Ajnauda Khurd	23	30.4217	76.2634
Ajahr	36	27.8089	77.8794
Ajnokh	36	27.6726	77.4158
Ajitnagar	10	30.0864	76.4619
Ajrawar	23	30.3748	76.5494
Ajansonda Khurd	16	18.4538	76.8470
Ajni	16	18.2974	76.8496
Ajnauthi	36	27.7145	77.5388
Ajhai Khurd	36	27.6027	77.5778
Ajibsingh Ka Nagla	36	27.5490	77.5012
Ajhai Kalan	36	27.6065	77.5864
Ajal	36	27.3854	77.5058
Ajaynagar	36	27.4888	77.7323
Ajitpura	10	29.0812	76.0952
