Nizamabad	40	18.6715	78.0988
Nimach	24	24.4595	74.8662
Nirmal	40	19.0968	78.3441
Nipani	16	16.3990	74.3829
Nimbahera	24	24.6217	74.6800
Nithari	07	28.7049	77.0529
Nihtaur	36	29.3242	78.3872
Nilambur	13	11.2727	76.2257
Nidadavole	02	16.9057	81.6722
Nilithi	07	28.6520	77.0564
Nildoh	16	21.1107	78.9891
Niwai	24	26.3607	75.9184
Nilanga	16	18.1167	76.7528
Nileshwar	13	12.2595	75.1352
Nivari	35	25.3491	78.7997
Nilakottai	25	10.1650	77.8502
Nimaj	24	26.1500	74.0009
Nirmali	34	26.3140	86.5854
Nimaparha	21	20.0576	86.0044
Nilokheri	10	29.8367	76.9319
Nichlaul	36	27.3125	83.7253
Nisang	10	29.6923	76.7546
Nilagiri	21	21.4624	86.7679
Niz-Hajo	03	26.2494	91.5243
Nirsa	38	23.7844	86.7069
Nilaiyur	25	9.8572	78.0598
Nizamabad	36	26.0529	83.0579
Ningthoukhong	17	24.5717	93.7641
Niwari	36	28.8761	77.5382
Nilpur	23	30.4689	76.5797
Nilambur	25	11.0590	77.0838
Niwas	35	23.0457	80.4447
Nidanpur Pt-II	03	26.0233	90.3037
Nizampur	16	21.1128	74.3307
Nimbhora Budrukh	16	21.0486	75.8419
Niz - Mankata	03	27.4642	94.9213
Niz Katigorah Pt III	03	24.8773	92.5700
Niramargar	19	12.8857	74.9151
Niz-Bahjani	03	26.3806	91.4159
Nihalpur Simba	12	32.6236	74.7819
Nizau	30	27.4500	92.6333
Nizampur	24	29.7763	73.5522
Nizampur	16	18.3184	73.3019
Nizampet	40	18.0921	77.8812
Nizampatnam	02	15.9049	80.6686
Nizamghat	30	28.2798	95.7117
Nizamabad	40	16.5416	78.6619
Nivali	35	21.6826	74.9220
Nituria	28	23.6333	86.8167
Nitur	16	18.2425	76.7779
Nittur	19	13.3222	76.8615
Nitrud	16	19.0217	76.1855
Nithrana	24	29.2333	75.0343
Nithor	24	26.9624	77.0379
Nisha	21	20.9250	85.0017
Nischu	41	34.5224	79.1081
Nisarpur	35	22.1088	74.8078
Nisapui	31	23.9394	92.7693
Niruna	09	23.6333	69.5167
Niru	12	34.5591	75.0274
Nirpar	09	20.6331	73.3981
Nirmali	09	23.1198	73.0638
Nirmal	16	19.4004	72.7651
Nirgundihi	21	21.8574	84.0939
Nirgunda	19	17.2929	77.3764
Nirgajni	36	29.5244	77.8746
Nirbana	24	29.4855	73.7654
Niranjanpur	34	25.1702	84.5543
Nirancal	33	15.3609	74.0860
Nirakarpur	21	19.9833	85.5500
Niphad	16	20.0794	74.1093
Nipani Dongri	35	21.5833	79.7333
Nipaniya	24	24.6194	76.8656
Nipania	37	21.8500	82.0333
Nipal	24	25.3980	73.5268
Nior Nis	41	33.4286	78.2042
Nioku	30	27.9311	94.1240
Ninor	24	23.6395	74.8714
Ninguani	35	23.3057	81.9984
Ningru	30	27.6301	95.8907
Ninging	30	28.9533	94.8332
Ningala	09	22.0211	71.7046
Nindali	02	14.1075	79.6977
Nindakara	13	8.9479	76.5383
Ninawad	35	23.3728	76.2218
Nimu	41	34.1957	77.3351
Nimtita	28	24.6500	88.0333
Nimsod	16	17.4538	74.4643
Nimsakhar	16	18.0257	74.7719
Nimbri Chandawatan	24	26.9263	73.9262
Nimpani	35	22.0754	77.8749
Nimora	24	26.5062	75.5153
Nimora	37	21.1333	81.7333
Nimon	16	19.7109	74.1933
Nimod	35	23.8615	75.0407
Nimnan	35	23.9760	82.8589
Nimmakhandipenth	21	19.3543	84.4724
Nimkhera	35	22.4392	75.1955
Nim Ka Khera	24	25.3381	75.4793
Nimia Dih	36	24.1939	83.2670
Nimiya	35	22.1930	77.6093
Nimgaon	16	20.4377	74.5581
Nimgachi	38	24.9667	87.7500
Nimera	24	27.5187	75.5296
Nimbola	35	21.3734	76.2595
Nimod	24	27.2487	74.7852
Nimbli Uda	24	25.8794	73.3436
Nimblana	24	25.4423	72.4563
Nimbi Jodhan	24	27.5323	74.3434
Nimbhora Budrukh	16	21.1660	75.9656
Nimbgaon Ketki	16	18.0849	74.9129
Nimbgaon Jali	16	19.5667	74.3833
Nimbgaon	16	18.5735	75.1422
Nimbavas	24	24.9964	72.1507
Nimbavda	16	17.4573	74.8502
Nimbarga	19	17.3861	76.5858
Nimbal Khurd	19	17.1000	75.8500
Nimbal Buzurg	19	17.1000	75.8500
Nimbala	16	18.0559	76.7584
Nimbal	24	26.1000	74.8500
Nimbal	16	17.3883	76.3868
Nimbal	19	17.1040	75.8542
Nimbagallu	02	14.8881	77.2084
Nimb	16	17.7917	74.0080
Nima	24	28.4648	75.4817
Nimakhandipenta	21	19.3667	84.4667
Nivaj	24	24.7318	72.4426
Nilvala	09	21.9178	71.2963
Nilsar	24	25.4408	71.2867
Nilkund	19	14.4548	74.7003
Nilkat	16	18.5000	76.2833
Nilkanth	24	25.6544	72.7129
Nilji	21	20.1023	82.5936
Nilguda	40	17.2500	80.4333
Nilgaon	36	27.2377	80.9448
Nileswaram	13	12.3333	75.1000
Nilamel	13	8.8237	76.8830
Nilambazar	03	24.7459	92.3499
Nikursini	28	22.0043	87.3017
Nikuran	10	29.4371	76.3737
Nikum	24	24.5648	74.4914
Niktak	30	27.9647	93.8729
Nikoda Mota	09	23.5082	73.0392
Nikora	09	21.7667	73.1167
Nikava	09	22.1922	70.5340
Nij Narajol	28	22.5667	87.6167
Nij Laluk	03	27.1188	93.9296
Nijhar	09	21.4773	74.1959
Nijgaon Paranpur	28	25.1500	87.9667
Nihal Singhwala	23	30.5851	75.2772
Nihalpur	24	27.0633	76.7259
Nihal Khera	23	30.2306	74.1321
Nihalamba	35	21.6153	74.7958
Nigudghar	16	18.1134	73.7327
Nigri	35	24.1517	81.9176
Nigari	35	23.0365	79.9100
Nigri	16	17.6468	74.2032
Nigohi	36	28.1068	79.8717
Nigohan	36	26.5618	81.0308
Nighoj	16	18.9600	74.2813
Nighwa	40	19.1854	77.8589
Nighasan	36	28.2359	80.8608
Nigda	16	17.2047	73.8927
Nigaria	35	22.8460	74.5046
Nigan	28	23.5099	87.9878
Nidumolu	02	16.2667	81.0333
Nidugal	19	14.1487	77.0853
Nidubrolu	02	16.0667	80.5667
Nidni	19	17.6817	77.3169
Nidjapla	40	17.8502	77.8781
Nidgundi	19	16.3583	75.9310
Nidagundi	19	15.6602	75.8645
Nichuguard	20	25.8056	93.7849
Nichinai	41	34.3500	75.1833
Nibua Raiganj	36	27.0720	83.8939
Nibnutvadi	16	17.4641	74.7200
Nibli	24	26.1723	70.8473
Nibia	00	28.0167	81.6167
Nibhora	35	22.8982	78.4986
Niaunyu	30	26.8536	95.3179
Niali	21	20.1351	86.0628
Niala Kondapalle	40	17.1025	80.0533
Nial	23	29.9699	76.0675
Nimrasar	24	28.7967	74.6038
Nilarpur	28	22.7834	88.1232
Nilgani	28	22.7609	88.4377
Nibria	28	22.6087	88.2441
Nimpot	28	22.1553	88.4475
Nij Khari	28	22.0929	88.4288
Nirman	28	22.8433	88.8811
Nitberia	28	22.4043	88.8836
Nila	12	34.2633	74.8894
Nishat	12	34.1232	74.8849
Nirhad	12	33.7608	74.1779
NiganaI	12	33.3853	74.2439
Nilipur	12	34.4529	74.2529
Nichahom	12	34.3915	74.1424
Nildogar	12	34.3892	74.1944
Nildori	12	34.3376	74.1017
Nilah	12	34.1714	74.5241
Nihalpur	12	34.1495	74.5247
Ningarpur	12	34.1125	74.5025
Nijul	12	34.0427	74.6543
Nihale Shah da Mohalla	12	32.9423	74.5625
Nilli Dabbi	12	33.2366	74.1662
Niladab	12	33.0322	74.4608
Nili	12	33.0002	74.4577
Nikkar	12	32.8163	74.4983
Niun Ban	12	32.9762	74.8700
Nikki Seri	12	32.8414	74.9109
Nizampur	23	30.6547	76.0252
Nizampur Majra	10	28.9826	76.8069
Nilothi	10	28.8097	76.8754
Nirthan	10	28.9550	76.8890
Nibali	12	32.7333	74.9014
Nimanarayan	24	28.1894	74.7060
Nimbu Tonk	24	28.2361	73.9694
Nizampur	36	29.7413	77.2897
Niwaria	24	25.8115	75.5134
Nizampur	10	29.4457	76.9840
Niwazpur	10	28.1116	76.0922
Nilwal	07	28.6673	76.9793
Niharag	11	31.2083	77.0369
Nichla Kangti	11	31.1939	77.0772
Nigana	39	29.7750	78.7415
Nizampet	40	17.1580	78.0066
Niralapalli	40	17.2585	78.7318
Nirmata	40	17.0063	78.9825
Nintur	40	17.8145	78.5991
Nizampet	40	17.5179	78.3828
Nizampur	40	17.6792	78.0035
Nidi	16	18.5266	72.9524
Nirmala Stores	19	12.9429	77.5606
Nimhans	19	12.9372	77.5959
Nimwali Dhani	24	28.1761	75.5189
Nizampura	24	28.0203	75.6103
Niamatpur	10	30.2304	76.6209
Nizampur	23	30.2144	76.5049
Niharsa	10	30.2281	76.6583
Niharsi	10	30.2153	76.6485
Nikka Siana	10	30.0267	76.5356
Nibwa	10	30.6024	76.9123
Nimta	35	25.1471	78.8378
Nibodiya	35	24.0694	78.1575
Nigoi	36	24.8739	78.4152
Nirtala	35	24.0724	78.2952
Nimkhera	36	24.5094	78.5275
Nimkhera	35	24.6776	78.7931
Niwari	36	24.6214	78.7532
Nimon	35	24.0162	78.7999
Nizampur	36	27.9594	79.0102
Nizamabad	36	27.9204	79.0735
Nidhanpura	36	27.9092	79.0273
Niazi Ka Nagla	36	27.8368	79.0727
Nibia	36	27.7693	79.0931
Nizampur	36	27.9116	79.0830
Nizampur	36	27.8585	79.4975
Niranjan Nagla	36	27.8132	79.3665
Nigoh Khas	36	27.1551	79.4550
Ninauli	36	27.0816	79.4352
Niwari	36	27.0543	79.4674
Niwada	36	27.0580	79.4856
Nikra	36	27.6992	79.4994
Nigar	36	27.5441	79.6436
Nibau Nagla	36	27.5199	79.6884
Nikawanpur	36	27.2311	79.7571
Nimapur	36	27.2229	79.9403
Nikauwan Purwa	36	27.1549	79.8121
Niwazi Purwa	36	27.0596	79.8728
Nihal Purwa	36	27.0689	79.9904
Niwari	36	26.9888	79.1365
Nihalpur	36	26.9711	79.2102
Nigo Ekarpur	36	26.7563	79.1746
Nigo Buapur	36	26.7562	79.1468
Nib Sai	36	26.9346	79.1061
Ninawa	36	26.7657	79.1739
Nibri	36	26.4672	79.2466
Ninaoli	36	26.3757	79.1515
Nitharwala ki Dhani	24	26.9760	75.5393
Niwaru	24	26.9732	75.7132
Nimnara	24	26.8993	75.6312
Niota	24	26.7972	75.6786
Ninawali	36	26.3873	79.3120
Nimgaon	36	26.3516	79.3431
Nizampur	36	26.3672	79.3892
Nibuja	36	25.6727	79.0508
Niswara	36	25.4304	79.4164
Nizampur	36	26.9707	79.5519
Nihalabad	36	26.8538	79.5636
Nibhar	36	26.7996	79.6581
Nigohya	36	26.5788	79.8602
Nijamatpur	36	26.5161	79.9766
Niwawari	35	24.9294	79.2099
Nipbal	35	24.7154	79.0700
Niwar	35	24.2138	79.0906
Nipaniya	35	24.1933	79.2276
Nihani	35	24.0909	79.0392
Nimkhera	35	24.0619	79.0622
Niwari	35	24.0397	79.1736
Nivariya	35	24.8413	79.4463
Niranjanpur	36	30.3018	78.0150
Nilai Jhora	03	26.3998	89.9441
Nidagatta	19	13.4018	76.0442
Nimla	24	29.0019	74.5554
Nij Charaibahi	03	26.2920	92.4548
Niausao	30	26.8198	95.2796
Niamatpur	36	26.2166	79.5504
Niyar Dih	35	25.5379	83.0563
Nirdapalli	40	18.3989	79.7207
Nimbora	24	27.4372	74.0112
Nimbolo	24	27.1876	73.3852
Nimbi Chhoti	24	27.3375	74.6241
Nigdi	16	18.4855	73.1165
Nilupara	37	20.2767	83.9444
Niladripur	21	19.4523	85.1243
Nirtu	37	22.2083	82.4292
Nischinta Pur	28	21.9896	88.2173
Nimbakhedi	35	23.6143	75.3587
Niz Saldah	03	26.4529	91.1857
Nidanpur	18	25.9325	90.1172
Nishiganj	28	26.3144	89.3013
Niz Chenga	03	26.3054	91.1713
Niz Barala	03	26.4531	91.1569
Nischintakoili	21	20.4790	86.1850
Nikashi	03	26.7294	91.3629
Niz Tengakhat	03	27.3806	95.1719
Nipaniya	35	22.9897	77.0251
Niz Namati	03	26.5285	91.3060
Niz chirakhowa	03	25.5947	89.9090
Niz Banekuchi	03	26.4731	91.3964
Nilakanthapur	21	21.9595	87.1809
Nijli	35	21.8722	80.0703
Nilji	35	21.8722	80.0703
Nichemaska	21	19.6054	82.9622
Nimdaria	28	22.7343	88.5795
Nimrani	35	22.1175	75.4583
Nijtaraf	28	26.3176	88.8767
Ningarpur	12	34.3824	74.7000
Nigdhu	10	29.8381	76.7381
Nizampur	10	29.2298	76.5063
Niganiawas	10	28.1689	76.7242
Nikhri	10	28.1862	76.7303
Nizampur Khurd	10	28.8292	76.9649
Nizampur	10	28.2099	76.9195
Nibaheri	24	28.0918	76.8747
Niyul	11	31.7159	77.0342
Nihri	11	31.6142	77.0926
Nirhali	11	31.5905	77.0385
Nihri	11	31.5608	77.1925
Niru	11	31.5869	77.2360
Nihlu	11	31.7139	77.1733
Nid	11	31.5376	77.0169
Nid	11	31.5457	77.2104
Nikhatia	10	29.5905	75.3429
Nimbri	10	29.6686	75.4777
Nitar	10	29.4958	75.0026
Nirhan	10	29.3978	75.0469
Ninan	24	29.1757	75.2724
Niradhanu	24	28.3014	75.2185
Nihalgarh	10	28.5081	76.0724
Nimriwali	10	28.7161	76.1413
Ninan	10	28.7978	76.1805
Nirojal	12	33.4427	74.3391
Nihar Kasi	12	33.3469	74.4704
Nihri	11	31.4089	77.0390
Nichla Barnog	11	31.4313	77.0985
Nira	11	31.3573	77.1943
Nikri Dudhi	12	34.6309	74.0309
Nildat	12	34.5571	74.0577
Niulkala	12	34.7267	74.3943
Nichli Balahni	11	31.3637	77.3113
Nindan	11	31.4497	77.3070
Nind	11	31.4311	77.3588
Nichla Kayalu	11	31.2539	77.3489
Nichla Ahar	11	31.2836	77.3814
Ninglu	11	31.4706	77.3693
Nilewala	23	30.9435	74.9096
Niul	11	31.1376	77.2904
Nin	11	31.0082	77.2792
Niari	11	31.0511	77.4746
Nichli Sharthi	11	31.3980	77.5140
Nichli Shain	11	31.4118	77.5249
Nichli Tarmidhar	11	31.4141	77.5566
Nirsu	11	31.3936	77.6067
Nirith	11	31.3699	77.5508
Ninnu	11	31.3520	77.5705
Ninu	11	31.3703	77.5554
Nihari	11	31.1073	77.5711
Nigah	11	31.0238	77.6786
Nilhog	11	30.9603	77.0411
Nishnash	10	30.7285	77.0375
Nibwala	11	30.6285	77.1697
Niog	11	30.6470	77.2484
Nihaoni	10	30.3063	77.0165
Nizampur	10	30.4590	77.1925
Niwarsi	10	30.0029	77.0196
Nigali	11	30.6547	77.2583
Nihari	11	30.6204	77.3912
Nihai	11	30.6971	77.4756
Nimtawali Dhani	24	27.5487	76.0902
Nimli	24	27.5262	76.0210
Nimwala Guarah	24	27.2718	76.2672
Nimbora	24	27.7609	76.6424
Nimlaka	24	27.9665	76.7391
Nirbalpura	24	27.4227	76.5202
Nithari	24	27.4275	76.6962
Nigali	11	30.6811	77.6320
