Zerakpur	23	30.6562	76.8209
Zemabawk	31	23.7392	92.7452
Zema	29	27.7593	88.5395
Zeyadah Kot	28	22.4445	88.3345
Zewan	12	34.0404	74.9072
Zeramahal	12	34.1757	74.5820
Zerda	09	24.3263	72.1346
Zerakpur	36	25.7682	82.9220
Zerakpur	36	25.8857	82.5331
Zeorar	36	25.6388	82.6796
Zerki	36	28.9122	78.3822
Zempur	12	33.9400	74.6039
Zeipur	12	33.6764	74.9180
Zeluk	29	27.2514	88.7826
Zenjal	12	33.4573	75.1840
Zenzanhu	12	33.2607	75.2760
Zein-ul-Abdin	23	31.7781	75.2369
Zerabandha	37	21.4050	80.8970
Zemithang	30	27.7094	91.7275
